Name1,Name2,Set,Card_type1,Card_type2,Mana_Cost1,Mana_Cost2,Mana_Value1,Mana_Value2,Color,Rarity,Price
Impetuous Sunchaser,,BNG,Creature,,1R,,2.0,0.0,R,C,0.04
Implement of Combustion,,AER,Artifact,,1,,1.0,0.0,R,C,0.15
Implement of Examination,,AER,Artifact,,3,,3.0,0.0,U,C,0.06
Implement of Ferocity,,AER,Artifact,,1,,1.0,0.0,G,C,0.05
Implement of Improvement,,AER,Artifact,,1,,1.0,0.0,W,C,0.08
Implement of Malice,,AER,Artifact,,2,,2.0,0.0,B,C,0.12
Implements of Sacrifice,,FEM,Artifact,,2,,2.0,0.0,C,R,0.91
Implode,,PLS,Sorcery,,4R,,5.0,0.0,R,U,0.19
Imposing Grandeur,,VOC,Sorcery,,4R,,5.0,0.0,R,R,0.54
Imposing Sovereign,,M14,Creature,,1W,,2.0,0.0,W,R,0.27
Imposing Vantasaur,,IKO,Creature,,5W,,6.0,0.0,W,C,0.06
Imposing Visage,,5ED,Enchantment,,R,,1.0,0.0,R,C,0.11
Imposter Mech,,NEC,Artifact,,1U,,2.0,0.0,U,R,1.56
Impostor of the Sixth Pride,,MH1,Creature,,1W,,2.0,0.0,W,C,0.06
Imprisoned in the Moon,,VOC,Enchantment,,2U,,3.0,0.0,U,R,2.6
Improbable Alliance,,ELD,Enchantment,,UR,,2.0,0.0,UR,U,0.16
Impromptu Raid,,SHM,Enchantment,,3R/G,,5.0,0.0,RG,R,0.42
Improvised Armor,,ONS,Enchantment,,3W,,4.0,0.0,W,U,0.15
Improvised Weaponry,,AFR,Sorcery,,2R,,3.0,0.0,R,C,0.08
Imp's Mischief,,PLC,Instant,,1B,,2.0,0.0,B,R,28.69
Imps' Taunt,,TMP,Instant,,1B,,2.0,0.0,B,U,0.16
Impulse,,DMU,Instant,,1U,,2.0,0.0,U,C,8.57
Impulsive Maneuvers,,PHE,Enchantment,,2RR,,4.0,0.0,R,R,2.18
Impulsive Pilferer,,CMR,Creature,,R,,1.0,0.0,R,C,0.12
Inaction Injunction,,RTR,Sorcery,,1U,,2.0,0.0,U,C,0.07
"Inalla, Archmage Ritualist",,C17,Creature,,2UBR,,5.0,0.0,UBR,M,1.96
Iname as One,,SOK,Creature,,8BBGG,,12.0,0.0,BG,R,1.51
"Iname, Death Aspect",,CHK,Creature,,4BB,,6.0,0.0,B,R,0.29
"Iname, Life Aspect",,CHK,Creature,,4GG,,6.0,0.0,G,R,0.47
In Bolas's Clutches,,DOM,Enchantment,,4UU,,6.0,0.0,U,U,0.14
Incandescent Aria,,SNC,Sorcery,,RGW,,3.0,0.0,WRG,R,0.4
Incandescent Soulstoke,,MM2,Creature,,2R,,3.0,0.0,R,U,0.68
Incarnation Technique,,C21,Sorcery,,4B,,5.0,0.0,B,R,3.02
Incendiary,,UDS,Enchantment,,R,,1.0,0.0,R,U,0.22
Incendiary Command,,C13,Sorcery,,3RR,,5.0,0.0,R,R,1.5
Incendiary Flow,,EMN,Sorcery,,1R,,2.0,0.0,R,U,0.13
Incendiary Oracle,,THB,Creature,,1R,,2.0,0.0,R,C,0.02
Incendiary Sabotage,,KLD,Instant,,2RR,,4.0,0.0,R,U,0.02
Incinerate,,JVC,Instant,,1R,,2.0,0.0,R,C,0.36
Incite,,M11,Instant,,R,,1.0,0.0,R,C,0.05
Incite Hysteria,,RAV,Sorcery,,2R,,3.0,0.0,R,C,0.07
Incite Rebellion,,CM2,Sorcery,,4RR,,6.0,0.0,R,R,0.3
Incite War,,MRD,Instant,,2R,,3.0,0.0,R,C,0.09
Incorrigible Youths,,SOI,Creature,,3RR,,5.0,0.0,R,U,0.17
Increasing Ambition,,DKA,Sorcery,,4B,,5.0,0.0,B,R,0.88
Increasing Confusion,,DKA,Sorcery,,XU,,1.0,0.0,U,R,1.35
Increasing Devotion,,C20,Sorcery,,3WW,,5.0,0.0,W,R,0.29
Increasing Savagery,,DDS,Sorcery,,2GG,,4.0,0.0,G,R,0.56
Increasing Vengeance,,C19,Instant,,RR,,2.0,0.0,R,R,1.37
Incremental Blight,,ARC,Sorcery,,3BB,,5.0,0.0,B,U,0.33
Incremental Growth,,W16,Sorcery,,3GG,,5.0,0.0,G,U,0.1
Incriminate,,SNC,Sorcery,,1B,,2.0,0.0,B,C,0.06
Incubation Druid,,NCC,Creature,,1G,,2.0,0.0,G,R,1.27
Incubation,Incongruity,C21,Sorcery,Instant,G/U,1GU,2.0,3.0,UG,U,0.1
Incubator Drone,,BFZ,Creature,,3U,,4.0,0.0,U,C,0.06
Incurable Ogre,,ALA,Creature,,3R,,4.0,0.0,R,C,0.05
Incursion Specialist,,GTC,Creature,,1U,,2.0,0.0,U,U,0.06
Indatha Crystal,,IKO,Artifact,,3,,3.0,0.0,WBG,U,0.09
Indatha Triome,,IKO,Land,,,,0.0,0.0,C,R,10.5
Indebted Samurai,,BOK,Creature,,3W,,4.0,0.0,W,U,0.72
Indentured Djinn,,MMQ,Creature,,1UU,,3.0,0.0,U,U,0.22
Indentured Oaf,,RAV,Creature,,3R,,4.0,0.0,R,U,0.25
Independent Troops,,PTK,Creature,,1R,,2.0,0.0,R,C,1.01
Indestructibility,,M14,Enchantment,,3W,,4.0,0.0,W,R,1.36
Indestructible Aura,,CHR,Instant,,W,,1.0,0.0,W,C,0.24
Index,,M13,Sorcery,,U,,1.0,0.0,U,C,0.15
Indigo Faerie,,EVE,Creature,,1U,,2.0,0.0,U,U,0.15
Indomitable Ancients,,MOR,Creature,,2WW,,4.0,0.0,W,R,5.5
Indomitable Archangel,,NEC,Creature,,2WW,,4.0,0.0,W,M,0.5
Indomitable Creativity,,AER,Sorcery,,XRRR,,3.0,0.0,R,M,20.21
Indomitable Might,,AFC,Enchantment,,3G,,4.0,0.0,G,R,0.21
Indomitable Will,,JMP,Enchantment,,1W,,2.0,0.0,W,C,0.07
Indrik Stomphowler,,NCC,Creature,,4G,,5.0,0.0,G,U,0.1
Indrik Umbra,,PCA,Enchantment,,4GW,,6.0,0.0,WG,R,0.73
Induced Amnesia,,RIX,Enchantment,,2U,,3.0,0.0,U,R,0.38
Induce Despair,,DDP,Instant,,2B,,3.0,0.0,B,C,0.13
Induce Paranoia,,RAV,Instant,,2UU,,4.0,0.0,UB,C,0.2
Indulge,Excess,NCC,Sorcery,Sorcery,2R,1R,3.0,2.0,R,R,5.3
Indulgent Aristocrat,,VOC,Creature,,B,,1.0,0.0,B,U,0.23
Indulgent Tormentor,,IMA,Creature,,3BB,,5.0,0.0,B,U,0.53
Indulging Patrician,,M21,Creature,,1WB,,3.0,0.0,WB,U,0.64
Industrial Advancement,,NCC,Enchantment,,3R,,4.0,0.0,R,R,1.63
Inertia Bubble,,MRD,Enchantment,,1U,,2.0,0.0,U,C,0.07
Inescapable Blaze,,GRN,Instant,,4RR,,6.0,0.0,R,U,0.05
Inescapable Brute,,SHM,Creature,,5R,,6.0,0.0,R,C,0.06
Inevitable Betrayal,,MH2,Sorcery,,,,0.0,0.0,U,R,0.4
Inevitable End,,THB,Enchantment,,2B,,3.0,0.0,B,U,0.06
Inexorable Blob,,SOI,Creature,,2G,,3.0,0.0,G,R,0.86
Inexorable Tide,,MM2,Enchantment,,3UU,,5.0,0.0,U,R,7.94
Infantry Veteran,,IMA,Creature,,W,,1.0,0.0,W,C,0.09
Infected Vermin,,ODY,Creature,,2B,,3.0,0.0,B,U,0.32
Infectious Bloodlust,,ORI,Enchantment,,1R,,2.0,0.0,R,C,0.03
Infectious Horror,,M19,Creature,,3B,,4.0,0.0,B,C,0.1
Infectious Host,,RAV,Creature,,2B,,3.0,0.0,B,C,0.17
Infectious Rage,,JUD,Enchantment,,1R,,2.0,0.0,R,U,0.24
Infernal Caretaker,,LGN,Creature,,3B,,4.0,0.0,B,C,0.12
Infernal Contract,,7ED,Sorcery,,BBB,,3.0,0.0,B,R,0.66
Infernal Darkness,,ME2,Enchantment,,2BB,,4.0,0.0,B,R,2.17
Infernal Denizen,,ICE,Creature,,7B,,8.0,0.0,B,R,0.95
Infernal Genesis,,PCY,Enchantment,,4BB,,6.0,0.0,B,R,2.98
Infernal Grasp,,MID,Instant,,1B,,2.0,0.0,B,U,6.23
Infernal Harvest,,VIS,Sorcery,,1B,,2.0,0.0,B,C,0.15
Infernal Idol,,J22,Artifact,,3,,3.0,0.0,B,C,0.14
Infernal Kirin,,SOK,Creature,,2BB,,4.0,0.0,B,R,1.64
Infernal Medusa,,LEG,Creature,,3BB,,5.0,0.0,B,U,11.58
Infernal Offering,,C21,Sorcery,,4B,,5.0,0.0,B,R,0.29
Infernal Pet,,KHM,Creature,,2B,,3.0,0.0,B,C,0.01
Infernal Plunge,,ISD,Sorcery,,R,,1.0,0.0,R,C,0.25
Infernal Reckoning,,M19,Instant,,B,,1.0,0.0,B,R,0.2
Infernal Scarring,,M21,Enchantment,,1B,,2.0,0.0,B,C,0.07
Infernal Tribute,,WTH,Enchantment,,BBB,,3.0,0.0,B,R,5.45
Infernal Tutor,,DIS,Sorcery,,1B,,2.0,0.0,B,R,5.8
Inferno,,8ED,Instant,,5RR,,7.0,0.0,R,R,2.88
Inferno Elemental,,M10,Creature,,4RR,,6.0,0.0,R,U,0.09
Inferno Fist,,M15,Enchantment,,1R,,2.0,0.0,R,C,0.08
Inferno Hellion,,JMP,Creature,,3R,,4.0,0.0,R,U,0.06
Inferno Jet,,HOU,Sorcery,,5R,,6.0,0.0,R,U,0.07
Inferno of the Star Mounts,,AFR,Creature,,4RR,,6.0,0.0,R,M,32.32
Inferno Project,,C21,Creature,,6R,,7.0,0.0,R,R,0.14
Inferno Titan,,NCC,Creature,,4RR,,6.0,0.0,R,M,1.96
Inferno Trap,,DDN,Instant,,3R,,4.0,0.0,R,U,0.11
Infest,,CN2,Sorcery,,1BB,,3.0,0.0,B,U,0.16
Infestation Expert,Infested Werewolf,VOW,Creature,Creature,4G,,5.0,0.0,G,U,0.12
Infested Roothold,,DST,Creature,,4G,,5.0,0.0,G,U,0.14
Infiltrate,,NEM,Instant,,U,,1.0,0.0,U,C,0.13
Infiltration Lens,,SOM,Artifact,,1,,1.0,0.0,C,U,0.38
Infiltrator il-Kor,,TSR,Creature,,4U,,5.0,0.0,U,C,0.06
Infiltrator's Magemark,,GPT,Enchantment,,2U,,3.0,0.0,U,C,0.17
Infinite Authority,,LEG,Enchantment,,WWW,,3.0,0.0,W,R,29.59
Infinite Hourglass,,5ED,Artifact,,4,,4.0,0.0,C,R,0.26
Infinite Obliteration,,ORI,Sorcery,,1BB,,3.0,0.0,B,R,0.17
Infinite Reflection,,C14,Enchantment,,5U,,6.0,0.0,U,R,0.24
Inflame,,DST,Instant,,R,,1.0,0.0,R,C,0.09
Information Booth,,UNF,Artifact,,,,0.0,0.0,C,U,0.6
Information Dealer,,ONS,Creature,,1U,,2.0,0.0,U,C,0.2
Infuriate,,THB,Instant,,R,,1.0,0.0,R,C,0.1
Infuse,,ME3,Instant,,2U,,3.0,0.0,U,C,0.22
Infused Arrows,,5DN,Artifact,,4,,4.0,0.0,C,U,0.1
Infuse with the Elements,,BFZ,Instant,,3G,,4.0,0.0,G,U,0.06
Infuse with Vitality,,STX,Instant,,BG,,2.0,0.0,BG,C,0.06
In Garruk's Wake,,CLB,Sorcery,,7BB,,9.0,0.0,B,R,1.12
Inga Rune-Eyes,,KHM,Creature,,3U,,4.0,0.0,U,U,0.04
Ingenious Artillerist,,CLB,Creature,,2R,,3.0,0.0,R,C,0.3
Ingenious Infiltrator,,MH1,Creature,,2UB,,4.0,0.0,UB,U,1.36
Ingenious Leonin,,J22,Creature,,4W,,5.0,0.0,W,U,0.14
Ingenious Mastery,,STX,Sorcery,,X2U,,3.0,0.0,U,R,0.29
Ingenious Skaab,,2X2,Creature,,2U,,3.0,0.0,U,C,0.02
Ingenious Smith,,AFR,Creature,,1W,,2.0,0.0,W,U,0.45
Ingenious Thief,,S99,Creature,,1U,,2.0,0.0,U,C,0.12
Ingenuity Engine,,CMR,Artifact,,7,,7.0,0.0,C,U,0.1
Ingot Chewer,,UMA,Creature,,4R,,5.0,0.0,R,C,0.24
Inheritance,,ME2,Enchantment,,W,,1.0,0.0,W,U,0.18
Initiate of Blood,Goka the Unjust,CHK,Creature,Creature,3R,,4.0,0.0,R,U,0.13
Initiate's Companion,,JMP,Creature,,1G,,2.0,0.0,G,C,0.04
Initiates of the Ebon Hand,,5ED,Creature,,B,,1.0,0.0,B,C,0.19
Ink Dissolver,,MOR,Creature,,1U,,2.0,0.0,U,C,0.17
"Ink-Eyes, Servant of Oni",,PCA,Creature,,4BB,,6.0,0.0,B,R,18.22
Inkfathom Divers,,DDT,Creature,,3UU,,5.0,0.0,U,C,0.09
Inkfathom Infiltrator,,SHM,Creature,,U/BU/B,,4.0,0.0,UB,U,2.18
Inkfathom Witch,,NCC,Creature,,1U/B,,3.0,0.0,UB,U,0.15
Inkling Summoning,,STX,Sorcery,,1W/BW/B,,5.0,0.0,WB,C,0.02
Inkmoth Nexus,,MBS,Land,,,,0.0,0.0,C,R,41.23
Inkrise Infiltrator,,NEO,Creature,,1B,,2.0,0.0,B,C,0.02
Inkshield,,C21,Instant,,3WB,,5.0,0.0,WB,R,10.94
Ink-Treader Nephilim,,GPT,Creature,,RGWU,,4.0,0.0,WURG,R,1.36
Inkwell Leviathan,,2XM,Creature Artifact,,7UU,,9.0,0.0,U,R,0.47
"Inner Calm, Outer Strength",,SOK,Instant,,2G,,3.0,0.0,G,C,0.09
Inner-Chamber Guard,,SOK,Creature,,1W,,2.0,0.0,W,U,0.44
Inner Demon,,BBD,Enchantment,,2BB,,4.0,0.0,B,U,0.2
Inner Fire,,SOK,Sorcery,,3R,,4.0,0.0,R,C,0.24
Inner-Flame Acolyte,,JVC,Creature,,1RR,,3.0,0.0,R,C,0.14
Inner-Flame Igniter,,MM2,Creature,,2R,,3.0,0.0,R,C,0.07
Inner Sanctum,,WTH,Enchantment,,1WW,,3.0,0.0,W,R,3.35
Inner Struggle,,SOI,Instant,,3R,,4.0,0.0,R,U,0.04
"Inniaz, the Gale Force",,JMP,Creature,,3UU,,5.0,0.0,WU,R,0.19
Innocence Kami,,CHK,Creature,,3WW,,5.0,0.0,W,U,0.15
Innocent Blood,,JMP,Sorcery,,B,,1.0,0.0,B,C,0.35
Innocent Traveler,Malicious Invader,VOW,Creature,Creature,2BB,,4.0,0.0,B,U,0.1
In Oketra's Name,,AKH,Instant,,1W,,2.0,0.0,W,C,0.02
Inordinate Rage,,ZNR,Instant,,1R,,2.0,0.0,R,C,0.03
Inquisition,,DRK,Sorcery,,2B,,3.0,0.0,B,C,0.23
Inquisition of Kozilek,,2X2,Sorcery,,B,,1.0,0.0,B,U,1.46
Inquisitive Puppet,,ELD,Creature Artifact,,1,,1.0,0.0,C,U,0.07
Inquisitor Eisenhorn,,40K,Creature,,2UB,,4.0,0.0,UB,R,1.25
Inquisitor Exarch,,NPH,Creature,,WW,,2.0,0.0,W,U,0.14
Inquisitor Greyfax,,40K,Creature,,1WUB,,4.0,0.0,WUB,M,1.91
Inquisitorial Rosette,,40K,Artifact,,2,,2.0,0.0,C,R,0.84
Inquisitor's Flail,,ISD,Artifact,,2,,2.0,0.0,C,U,0.28
Inquisitor's Ox,,SOI,Creature,,3W,,4.0,0.0,W,C,0.06
Inquisitor's Snare,,SHM,Instant,,1W,,2.0,0.0,W,C,0.07
Insatiable Appetite,,ELD,Instant,,1G,,2.0,0.0,G,C,0.02
Insatiable Gorgers,,EMN,Creature,,2RR,,4.0,0.0,R,U,0.14
Insatiable Harpy,,THS,Creature,,2BB,,4.0,0.0,B,U,0.02
Insatiable Hemophage,,IKO,Creature,,3B,,4.0,0.0,B,U,0.18
Insatiable Souleater,,NPH,Creature Artifact,,4,,4.0,0.0,G,C,0.06
Inscribed Tablet,,DMU,Artifact,,1,,1.0,0.0,C,U,0.04
Inscription of Abundance,,ZNR,Instant,,1G,,2.0,0.0,G,R,0.69
Inscription of Insight,,ZNR,Sorcery,,3U,,4.0,0.0,U,R,0.32
Inscription of Ruin,,ZNR,Sorcery,,2B,,3.0,0.0,B,R,0.21
In Search of Greatness,,KHM,Enchantment,,GG,,2.0,0.0,G,R,0.5
Inside Out,,EVE,Instant,,1U/R,,3.0,0.0,UR,C,0.15
Insidious Bookworms,,ALL,Creature,,B,,1.0,0.0,B,C,0.13
Insidious Dreams,,TOR,Instant,,3B,,4.0,0.0,B,R,9.72
Insidious Will,,KLD,Instant,,2UU,,4.0,0.0,U,R,1.48
Insight,,6ED,Enchantment,,2U,,3.0,0.0,U,U,1.48
Insist,,TOR,Sorcery,,G,,1.0,0.0,G,R,1.03
Insolence,,PLS,Enchantment,,2R,,3.0,0.0,R,C,0.1
Insolent Neonate,,SOI,Creature,,R,,1.0,0.0,R,C,0.24
Inspiration,,W17,Instant,,3U,,4.0,0.0,U,C,0.09
Inspire Awe,,THB,Instant,,3G,,4.0,0.0,G,C,0.03
Inspired Charge,,JMP,Instant,,2WW,,4.0,0.0,W,C,0.03
Inspired Idea,,VOW,Sorcery,,2U,,3.0,0.0,U,R,0.17
Inspired Sphinx,,KHC,Creature,,5UU,,7.0,0.0,U,M,0.37
Inspired Sprite,,MOR,Creature,,3U,,4.0,0.0,U,U,0.15
Inspired Tinkering,,CLB,Sorcery,,4R,,5.0,0.0,R,U,0.24
Inspired Ultimatum,,IKO,Sorcery,,UURRRWW,,7.0,0.0,WUR,R,0.34
Inspiring Bard,,AFR,Creature,,3G,,4.0,0.0,G,C,0.02
Inspiring Call,,MIC,Instant,,2G,,3.0,0.0,G,U,0.63
Inspiring Captain,,JMP,Creature,,3W,,4.0,0.0,W,C,0.05
Inspiring Cleric,,XLN,Creature,,2W,,3.0,0.0,W,U,0.12
Inspiring Leader,,CLB,Enchantment,,2W,,3.0,0.0,W,U,0.26
Inspiring Overseer,,SNC,Creature,,2W,,3.0,0.0,W,C,0.15
Inspiring Refrain,,C21,Sorcery,,4UU,,6.0,0.0,U,R,0.32
Inspiring Roar,,CMR,Sorcery,,3W,,4.0,0.0,W,C,0.07
Inspiring Statuary,,AER,Artifact,,3,,3.0,0.0,C,R,2.34
Inspiring Unicorn,,JMP,Creature,,2WW,,4.0,0.0,W,U,0.11
Inspiring Vantage,,KLD,Land,,,,0.0,0.0,WR,R,11.6
Inspiring Veteran,,ELD,Creature,,RW,,2.0,0.0,WR,U,0.16
Inspirit,,9ED,Instant,,2W,,3.0,0.0,W,U,0.12
Instigator,,MMQ,Creature,,1B,,2.0,0.0,B,R,0.22
Instigator Gang,Wildblood Pack,ISD,Creature,Creature,3R,,4.0,0.0,R,R,1.48
Instill Energy,,ME4,Enchantment,,G,,1.0,0.0,G,U,27.6
Instill Furor,,RAV,Enchantment,,1R,,2.0,0.0,R,U,0.08
Instill Infection,,MM2,Instant,,3B,,4.0,0.0,B,C,0.05
Instrument of the Bards,,AFR,Artifact,,G,,1.0,0.0,G,R,2.5
Instruments of War,,J22,Artifact,,4,,4.0,0.0,C,U,0.23
Insubordination,,MMQ,Enchantment,,BB,,2.0,0.0,B,C,0.15
Insufferable Balladeer,,CLB,Creature,,1R,,2.0,0.0,R,C,0.03
Insult,Injury,AKH,Sorcery,Sorcery,2R,2R,3.0,3.0,R,R,1.54
Insurrection,,CMD,Sorcery,,5RRR,,8.0,0.0,R,R,11.72
Intangible Virtue,,NCC,Enchantment,,1W,,2.0,0.0,W,U,0.2
Integrity,Intervention,GRN,Instant,Instant,R/W,2RW,2.0,4.0,WR,U,0.06
Intellect Devourer,,CLB,Creature,,3B,,4.0,0.0,B,R,0.38
Intellectual Offering,,C14,Instant,,4U,,5.0,0.0,U,R,2.17
Intercessor's Arrest,,NEO,Enchantment,,2W,,3.0,0.0,W,C,0.03
Interdict,,TMP,Instant,,1U,,2.0,0.0,U,U,0.23
Interplanar Beacon,,WAR,Land,,,,0.0,0.0,C,U,0.09
Interpret the Signs,,CMR,Sorcery,,5U,,6.0,0.0,U,U,0.11
Intervene,,ULG,Instant,,U,,1.0,0.0,U,C,0.11
Intervention Pact,,FUT,Instant,,0,,0.0,0.0,W,R,4.6
"Intet, the Dreamer",,2X2,Creature,,3GUR,,6.0,0.0,URG,R,1.09
In the Eye of Chaos,,ME4,Enchantment,,2U,,3.0,0.0,U,R,169.98
In the Trenches,,BRO,Enchantment,,1WW,,3.0,0.0,W,M,4.1
In the Web of War,,BOK,Enchantment,,3RR,,5.0,0.0,R,R,2.02
In Thrall to the Pit,,DMU,Sorcery,,3R,,4.0,0.0,BR,C,0.01
Intimidation,,MMQ,Enchantment,,2BBB,,5.0,0.0,B,U,0.27
Intimidation Bolt,,ARB,Instant,,1RW,,3.0,0.0,WR,U,0.34
Intimidator Initiate,,SHM,Creature,,R,,1.0,0.0,R,C,0.21
In Too Deep,,NCC,Enchantment,,UU,,2.0,0.0,U,R,3.89
Into the Core,,MBS,Instant,,2RR,,4.0,0.0,R,U,0.08
Into the Fray,,SOK,Instant,,R,,1.0,0.0,R,C,0.09
Into the Maw of Hell,,ISD,Sorcery,,4RR,,6.0,0.0,R,U,0.14
Into the Night,,VOW,Sorcery,,3R,,4.0,0.0,R,U,0.17
Into the North,,CSP,Sorcery,,1G,,2.0,0.0,G,C,1.3
Into the Roil,,CMR,Instant,,1U,,2.0,0.0,U,C,0.12
Into the Story,,ELD,Instant,,5UU,,7.0,0.0,U,U,0.2
Into the Void,,CN2,Sorcery,,3U,,4.0,0.0,U,U,0.06
Into the Wilds,,M14,Enchantment,,3G,,4.0,0.0,G,R,0.4
Into Thin Air,,5DN,Instant,,5U,,6.0,0.0,U,C,0.08
Intrepid Adversary,,MID,Creature,,1W,,2.0,0.0,W,M,2.61
Intrepid Hero,,M13,Creature,,2W,,3.0,0.0,W,R,1.46
Intrepid Outlander,,AFR,Creature,,1G,,2.0,0.0,G,U,0.02
Intrepid Provisioner,,SOI,Creature,,3G,,4.0,0.0,G,C,0.01
Introduction to Annihilation,,STX,Sorcery,,5,,5.0,0.0,C,C,0.06
Introduction to Prophecy,,STX,Sorcery,,3,,3.0,0.0,C,C,0.04
Intruder Alarm,,8ED,Enchantment,,2U,,3.0,0.0,U,R,11.28
Intrusive Packbeast,,GRN,Creature,,4W,,5.0,0.0,W,C,0.03
Intuition,,TPR,Instant,,2U,,3.0,0.0,U,R,448.04
Inundate,,EVE,Sorcery,,3UUU,,6.0,0.0,U,R,6.29
Invader Parasite,,NPH,Creature,,3RR,,5.0,0.0,R,R,0.22
Invade the City,,WAR,Sorcery,,1UR,,3.0,0.0,UR,U,0.06
Invading Manticore,,WAR,Creature,,5R,,6.0,0.0,R,C,0.02
Invasion of the Giants,,KHM,Enchantment,,UR,,2.0,0.0,UR,U,0.06
Invasion Plans,,STH,Enchantment,,2R,,3.0,0.0,R,R,1.5
Invasive Species,,M15,Creature,,2G,,3.0,0.0,G,C,0.08
Invasive Surgery,,SOI,Instant,,U,,1.0,0.0,U,U,0.27
Inventive Iteration,Living Breakthrough,NEO,Enchantment,Enchantment Creature,3U,,4.0,0.0,U,R,0.24
Inventor's Apprentice,,KLD,Creature,,R,,1.0,0.0,R,U,0.06
Inventors' Fair,,PHE,Land,,,,0.0,0.0,C,R,15.17
Inventor's Goggles,,DDU,Artifact,,1,,1.0,0.0,C,C,0.08
Inverter of Truth,,OGW,Creature,,2BB,,4.0,0.0,B,M,3.64
Invert,Invent,GRN,Instant,Instant,U/R,4UR,2.0,6.0,UR,U,0.1
Invert the Skies,,EVE,Instant,,3G/U,,5.0,0.0,UG,U,0.18
Investigator's Journal,,VOW,Artifact,,2,,2.0,0.0,C,R,0.26
Invigorate,,2XM,Instant,,2G,,3.0,0.0,G,U,0.21
Invigorated Rampage,,AER,Instant,,1R,,2.0,0.0,R,U,0.3
Invigorating Boon,,ONS,Enchantment,,1G,,2.0,0.0,G,U,0.11
Invigorating Falls,,TOR,Sorcery,,2GG,,4.0,0.0,G,C,0.16
Invigorating Hot Spring,,NEO,Enchantment,,1RG,,3.0,0.0,RG,U,0.12
Invigorating Surge,,M21,Instant,,2G,,3.0,0.0,G,U,0.24
Invincible Hymn,,ALA,Sorcery,,6WW,,8.0,0.0,W,R,0.26
Inviolability,,MMQ,Enchantment,,1W,,2.0,0.0,W,C,0.2
Invisibility,,M15,Enchantment,,UU,,2.0,0.0,U,C,6.56
Invisible Stalker,,ZNC,Creature,,1U,,2.0,0.0,U,U,0.85
Invocation of Saint Traft,,SOI,Enchantment,,1WU,,3.0,0.0,WU,R,0.46
Invoke Calamity,,NEO,Instant,,1RRRR,,5.0,0.0,R,R,0.41
Invoke Despair,,NEO,Sorcery,,1BBBB,,5.0,0.0,B,R,1.15
Invoke Justice,,NEO,Sorcery,,1WWWW,,5.0,0.0,W,R,0.44
Invoke the Ancients,,NEO,Sorcery,,1GGGG,,5.0,0.0,G,R,0.26
Invoke the Divine,,KHM,Instant,,2W,,3.0,0.0,W,C,0.04
Invoke the Firemind,,DDJ,Sorcery,,XUUR,,3.0,0.0,UR,R,0.29
Invoke the Winds,,NEO,Sorcery,,1UUUU,,5.0,0.0,U,R,0.38
Involuntary Cooldown,,BRO,Sorcery,,3U,,4.0,0.0,U,U,0.03
Involuntary Employment,,SNC,Sorcery,,3R,,4.0,0.0,R,U,0.09
Invulnerability,,TMP,Instant,,1W,,2.0,0.0,W,U,0.16
Iona's Blessing,,OGW,Enchantment,,3W,,4.0,0.0,W,U,0.06
Iona's Judgment,,CMR,Sorcery,,4W,,5.0,0.0,W,C,0.02
Ionize,,GRN,Instant,,1UR,,3.0,0.0,UR,R,0.63
Ion Storm,,2XM,Enchantment,,2R,,3.0,0.0,R,R,0.18
Ior Ruin Expedition,,CMR,Enchantment,,1U,,2.0,0.0,U,C,0.07
Ipnu Rivulet,,HOU,Land,,,,0.0,0.0,U,U,0.22
Irencrag Feat,,ELD,Sorcery,,1RRR,,4.0,0.0,R,R,0.95
Irencrag Pyromancer,,ELD,Creature,,2R,,3.0,0.0,R,R,0.64
Irenicus's Vile Duplication,,CLB,Sorcery,,3U,,4.0,0.0,U,U,4.6
Ire of Kaminari,,BOK,Instant,,3R,,4.0,0.0,R,C,0.1
Ire Shaman,,A25,Creature,,1R,,2.0,0.0,R,U,0.17
Iridescent Angel,,ODY,Creature,,5WU,,7.0,0.0,WU,R,1.17
Iridescent Drake,,UMA,Creature,,3U,,4.0,0.0,U,U,0.13
Iridescent Hornbeetle,,ZNR,Creature,,4G,,5.0,0.0,G,U,0.15
Iridian Maelstrom,,DMC,Sorcery,,WUBRG,,5.0,0.0,WUBRG,R,0.33
Irini Sengir,,HML,Creature,,2BB,,4.0,0.0,B,U,0.23
"Iroas, God of Victory",,C16,Enchantment Creature,,2RW,,4.0,0.0,WR,M,17.83
Iroas's Blessing,,THB,Enchantment,,3R,,4.0,0.0,R,C,0.01
Iroas's Champion,,ORI,Creature,,1RW,,3.0,0.0,WR,U,0.11
Iron Apprentice,,NEO,Creature Artifact,,1,,1.0,0.0,C,C,0.08
Iron-Barb Hellion,,5DN,Creature,,5R,,6.0,0.0,R,U,0.09
Iron Bully,,2XM,Creature Artifact,,3,,3.0,0.0,C,C,0.06
Ironclad Krovod,,M20,Creature,,3W,,4.0,0.0,W,C,0.1
Ironclad Revolutionary,,AER,Creature,,4BB,,6.0,0.0,B,U,0.03
Ironclad Slayer,,CMR,Creature,,2W,,3.0,0.0,W,C,0.06
Ironclaw Buzzardiers,,TSP,Creature,,2R,,3.0,0.0,R,C,0.07
Ironclaw Curse,,5ED,Enchantment,,R,,1.0,0.0,R,R,0.26
Ironclaw Orcs,,ME2,Creature,,1R,,2.0,0.0,R,C,5.57
Iron-Craw Crusher,,BRO,Creature Artifact,,7,,7.0,0.0,G,U,0.02
